brand,product_name,price,currency,source,url,timestamp,sold_count
Philips,Màn hình Philips 32E1N3500 32 inch,5290000,VND,cellphones,https://cellphones.com.vn/man-hinh-philips-32e1n3500-32-inch.html,2025-11-19 08:45:01,
Apple Chính hãng,Dịch vụ gia hạn bảo hành Applecare+ For iPad Pro 13 icnh (M5),4699000,VND,cellphones,https://cellphones.com.vn/dich-vu-apple-care-plus-ipad-pro-13-inch-m5.html,2025-11-19 08:45:01,
Lenovo,Laptop Lenovo LOQ 15ARP9 83JC00HYVN - Cũ Đẹp,12690000,VND,cellphones,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc00hyvn-cu-dep.html,2025-11-19 08:45:02,
Gigabyte,Laptop Gigabyte G6 KF-73VN854KH - Cũ Đẹp,19890000,VND,cellphones,https://cellphones.com.vn/laptop-gigabyte-g6-kf-73vn854kh-cu-dep.html,2025-11-19 08:45:02,
HP,Laptop HP Envy X360 14-FA0047AU A19BPPA - Cũ Đẹp,23790000,VND,cellphones,https://cellphones.com.vn/laptop-hp-envy-x360-14-fa0047au-a19bppa-cu-dep.html,2025-11-19 08:45:02,
Apple Chính hãng,Apple Watch Series 10 46mm (GPS) Viền Nhôm Dây Vải - Cũ Trầy Xước,6690000,VND,cellphones,https://cellphones.com.vn/apple-watch-series-10-46mm-gbs-vien-nhom-day-vai-cu-tray-xuoc.html,2025-11-19 08:45:04,
HP,Laptop HP Gaming Victus 16-D0198TX 4R0U0PA - Cũ Đẹp,14190000,VND,cellphones,https://cellphones.com.vn/laptop-hp-gaming-victus-16-d0198tx-4r0u0pa-cu-dep.html,2025-11-19 08:45:05,
Huawei,Đồng hồ thông minh Huawei Watch Ultimate 2 - Đã Kích Hoạt,12590000,VND,cellphones,https://cellphones.com.vn/dong-ho-thong-minh-huawei-watch-ultimate-2-cu-da-kich-hoat.html,2025-11-19 08:45:07,
LG,Màn hình thông minh LG 32SR83U-W 32 inch - Đã Kích Hoạt,7490000,VND,cellphones,https://cellphones.com.vn/man-hinh-thong-minh-lg-32sr83u-w-32-inch-cu-da-kich-hoat.html,2025-11-19 08:45:14,
LG,Màn hình Gaming LG Ultragear 24GS65F 24 inch - Cũ Đẹp,4290000,VND,cellphones,https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-24gs65f-24-inch-cu-dep.html,2025-11-19 08:45:14,
