brand,product_name,price,currency,source,url,timestamp,sold_count
['MSI'],"Laptop MSI Modern 15 B12MO - 625VN (i5 1235U, 8GB, 512GB, Full HD, Win11)",11490000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,2025-11-23 16:30:17,2100.0
['HP'],"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",12590000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-245-g10-r5-b8pf9at,2025-11-23 16:30:32,1900.0
['Lenovo'],"Laptop Lenovo Ideapad Slim 3 15AMN8 - 82XQ00J0VN (R5 7520U, 16GB, 512GB, Full HD, Win11)",12690000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,2025-11-23 16:30:36,7200.0
['Dell'],"Laptop Dell 15 DC15255 - DC5R5802W1 (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",15990000,VND,thegioididong,https://www.thegioididong.com/laptop/dell-15-dc15255-r5-7530u-dc5r5802w1,2025-11-23 16:30:48,185.0
['Asus'],"Laptop Asus Vivobook 15 OLED A1505VA - MA515WS (i5 13420H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeH24+365, Win11)",17990000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-vivobook-a1505va-i5-ma515ws,2025-11-23 16:31:01,1300.0
,Chọn mua laptop cho doanh nhân - Một số hãng laptop không nên bỏ lỡ,25290000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/chon-mua-laptop-cho-doanh-nhan-mot-so-hang-laptop-khong-1418324,2025-11-23 16:30:39,
['HP'],"Laptop HP 15 fc0085AU - A6VV8PA (R5 7430U, 16GB, 512GB, Full HD, Win11)",13490000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,2025-11-23 16:31:12,17700.0
['HP'],"Laptop HP 15 fd0303TU - A2NL4PA (i3 1315U, 8GB, 512GB, Full HD, Win11)",11590000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,2025-11-23 16:31:13,10400.0
['Dell'],"Laptop Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000,VND,thegioididong,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1,2025-11-23 16:31:16,3600.0
,TOP 10 laptop gaming dưới 40 triệu cấu hình mạnh đáng sở hữu nhất,29190000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/top-4-laptop-gaming-cau-hinh-cuc-chien-duoi-40-trieu-dang-1377060,2025-11-23 16:30:53,
['HP'],"Laptop HP 15 fr0036TU - BZ7U2PA (i5 13420H, 16GB, 512GB, Full HD, Win11)",16890000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-15-fr0036tu-i5-13420h-bz7u2pa,2025-11-23 16:31:19,581.0
['Lenovo'],"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",23390000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i5-83dv003cvn,2025-11-23 16:31:19,1400.0
['Asus'],"Laptop Asus Gaming Vivobook K3605VC - RP364W (i5 13420H, 16GB, 512GB, RTX 3050 4GB, WUXGA 144Hz, Win11)",19190000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-k3605vc-i5-rp364w,2025-11-23 16:31:21,1100.0
